@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
252,'2019/10/24 13:18:54:534',9,-8090483,-7893102,-7695980,-7564394,-7235943,-6907749,-6973287,-6973287,-7105132,-7236717,-8419190,-7958895,-7433064,-6775391,-5986388,-5591888,-5789782,-7504270,-8624055,-9674663,-7761515,-7301220,-6775133,-6380888,-5920595,-5526351,-5460815,-9543593,-10070975,-11122109,-7696492,-7235940,-6709852,-6249814,-5789521,-5592398,-5329485,-5395279,-5461075,-5790040,-7696750,-7170661,-6578781,-6184022,-5658192,-5395276,-5197899,-5132364,-5790810,-9409685,-7697008,-7105385,-6513247,-6118744,-6975083,-6780534,-5530724,-5133650,-7372673,-10397353,-7960438,-7697522,-6908262,-6645090,-11318967,-10008765,-8431532,-8299693,-9482171,-10333618,-7828851,-7368556,-6908262,-6513505,-7566707,-10922923,-10331815,-8488840,-8883599,-11450298,-8026232,-7631730,-7303021,-6974313,-6842727,-6777191,-7040108,-7435122,-7566709,-9145742,-8289405,-7960696,-7697780,-7566194,-7434865,-7434866,-7829624,-8619140,-8948106,-9276815,3
253,'2019/10/24 13:18:55:071',9,-8156019,-7893103,-7695980,-7498857,-7170407,-6973285,-6973287,-6973288,-7105389,-7236718,-8353654,-7958896,-7433064,-6709855,-5986389,-5591888,-5789526,-8031131,-8887492,-10135728,-7761515,-7301220,-6775133,-6380888,-5920594,-5591887,-5395279,-9214110,-9938613,-10792886,-7696491,-7235940,-6644316,-6249814,-5789777,-5592398,-5329484,-5395023,-5395282,-5724504,-7696750,-7170405,-6513244,-6184022,-5658191,-5395276,-5197899,-5132364,-5790810,-9409684,-7697008,-7105384,-6513246,-6118744,-6975083,-6846069,-5530723,-5133394,-7438208,-10397353,-8025974,-7697522,-6908263,-6645090,-11318967,-10008509,-8365996,-8234157,-9416634,-10333618,-7828851,-7368556,-6908261,-6513505,-7566707,-10922923,-10331816,-8488840,-8949135,-11450042,-8026231,-7631730,-7303021,-6974313,-6842727,-6777191,-7040107,-7435122,-7566709,-9145742,-8289405,-7960696,-7697780,-7500658,-7434865,-7434866,-7829624,-8619140,-8948106,-9276814,3
254,'2019/10/24 13:18:55:071',9,-8090739,-7958638,-7695979,-7498857,-7235943,-6973285,-6973287,-7039080,-7171439,-7302511,-8353654,-7958895,-7433064,-6775391,-5986389,-5591888,-5790039,-8557993,-9216973,-10464695,-7761515,-7301220,-6775133,-6380888,-5920594,-5591887,-5460815,-9016215,-9806507,-10594992,-7696492,-7235940,-6644316,-6249814,-5789521,-5592398,-5329484,-5329487,-5395282,-5724504,-7696750,-7170661,-6578781,-6184022,-5658192,-5395276,-5197898,-5132363,-5790810,-9409941,-7697009,-7105385,-6513247,-6118744,-6975083,-6780534,-5530723,-5133394,-7438209,-10397609,-7960438,-7697522,-6908262,-6645090,-11318967,-9942973,-8365996,-8299692,-9416634,-10333618,-7828852,-7368556,-6842725,-6513504,-7632243,-10922923,-10331816,-8489096,-8949391,-11450298,-8026232,-7631729,-7237485,-6974313,-6842727,-6777192,-7040108,-7435122,-7566709,-9145742,-8289405,-7960696,-7697780,-7500658,-7434865,-7500402,-7829624,-8619140,-8947850,-9276815,3
255,'2019/10/24 13:18:55:071',9,-8090483,-7893102,-7695979,-7564393,-7170407,-6973285,-6973543,-7039081,-7303283,-7302511,-8353654,-7959151,-7433064,-6775390,-5986389,-5591888,-5987419,-8953271,-9611985,-10530744,-7761515,-7301220,-6775133,-6380887,-5920594,-5526351,-5461072,-8950422,-9739941,-10397099,-7696492,-7235939,-6644316,-6249814,-5789776,-5592398,-5329484,-5329487,-5395282,-5724504,-7696750,-7170404,-6578781,-6184022,-5658191,-5395276,-5197899,-5132363,-5856346,-9475477,-7697008,-7105384,-6513247,-6118744,-6975083,-6780533,-5530724,-5133395,-7438209,-10397609,-7960438,-7697522,-6908262,-6645090,-11318967,-9942973,-8365740,-8299692,-9416634,-10333618,-7828851,-7368556,-6842725,-6513505,-7632243,-10922923,-10331816,-8489096,-8949391,-11450298,-8026232,-7631730,-7303021,-6974313,-6842727,-6777191,-7040108,-7435122,-7566709,-9145742,-8289405,-7960696,-7697780,-7500658,-7434865,-7500402,-7829624,-8619140,-8948106,-9276815,3
256,'2019/10/24 13:18:55:072',9,-8156275,-7893102,-7695980,-7564394,-7235943,-6973286,-7039079,-7039338,-7369076,-7302510,-8353654,-7958896,-7433064,-6775391,-5986389,-5591888,-6382435,-9085119,-10006737,-10464437,-7761515,-7301220,-6775133,-6315351,-5920594,-5526607,-5658451,-9016214,-9739940,-10265513,-7696492,-7235940,-6644316,-6249814,-5789777,-5592398,-5329485,-5329487,-5395282,-5724504,-7696750,-7104869,-6578781,-6184022,-5658192,-5395276,-5197899,-5132364,-5856346,-9541270,-7697008,-7105384,-6513246,-6118744,-6975083,-6846069,-5530723,-5198930,-7438209,-10397609,-7960438,-7631986,-6908262,-6645090,-11384504,-10008509,-8365740,-8299692,-9416634,-10333618,-7828852,-7368556,-6842725,-6513504,-7632243,-10922923,-10332072,-8489096,-8949392,-11515834,-8026232,-7631730,-7303021,-7039849,-6842727,-6842728,-7040108,-7434866,-7566709,-9145742,-8289661,-7960696,-7697780,-7500658,-7434865,-7500402,-7829624,-8619140,-8948106,-9276814,3
257,'2019/10/24 13:18:55:072',9,-8156019,-7893102,-7695979,-7564394,-7235943,-6973030,-6973544,-7039338,-7369075,-7236718,-8353654,-7959151,-7433064,-6775391,-5986389,-5591888,-6777451,-8888003,-10335182,-10135214,-7761515,-7301220,-6775133,-6380888,-5920594,-5591888,-5921624,-9213595,-9937318,-10331306,-7696492,-7235940,-6644316,-6249814,-5789521,-5592398,-5329485,-5329487,-5395282,-5790297,-7696751,-7170661,-6578780,-6184022,-5658192,-5395277,-5197899,-5132364,-5856603,-9607063,-7697008,-7105385,-6513246,-6118744,-6975083,-6846070,-5530724,-5133394,-7438209,-10463145,-7960438,-7697522,-6908263,-6645090,-11318968,-10008509,-8365997,-8299692,-9416634,-10333618,-7828851,-7368556,-6908261,-6513504,-7632243,-10922923,-10266280,-8488840,-8949391,-11450299,-8026488,-7631730,-7303021,-6974313,-6842727,-6777191,-7040108,-7435122,-7566709,-9145742,-8289661,-7960696,-7697780,-7500658,-7434865,-7434866,-7829624,-8619140,-8948106,-9276815,3
258,'2019/10/24 13:18:55:072',9,-8090483,-7893102,-7695979,-7564393,-7170408,-6907749,-6973544,-7039337,-7237232,-7236717,-8353654,-7958896,-7433064,-6775391,-5986388,-5591889,-6975600,-8558785,-10400711,-9674405,-7761515,-7301220,-6775133,-6380888,-5920595,-5592143,-6316639,-9411491,-10200748,-10463149,-7696492,-7235940,-6644316,-6249814,-5789777,-5592399,-5395021,-5395023,-5395282,-5855833,-7696750,-7170405,-6578781,-6184022,-5658191,-5395276,-5197899,-5132364,-5922139,-9672856,-7697008,-7105384,-6513502,-6118744,-6975084,-6780534,-5530723,-5133650,-7504002,-10463402,-7960438,-7697522,-6908262,-6645090,-11384504,-10008766,-8431532,-8299949,-9482170,-10333618,-7828852,-7368557,-6908261,-6513504,-7632243,-10922923,-10331816,-8488840,-8949391,-11450298,-8026232,-7631730,-7303020,-6974313,-6842727,-6777191,-7040107,-7435122,-7566709,-9145742,-8289405,-7960696,-7697780,-7500658,-7434866,-7434866,-7829624,-8619140,-8948106,-9276815,3
259,'2019/10/24 13:18:55:072',9,-8090483,-7893103,-7695980,-7498858,-7170407,-6973286,-6973544,-7039081,-7171181,-7236461,-8353654,-7958896,-7433064,-6775391,-5986389,-5591888,-6975858,-8097976,-10268606,-9213340,-7761515,-7301220,-6775133,-6380888,-5920595,-5592143,-6646119,-9609902,-10530228,-10660785,-7696492,-7235940,-6709852,-6249814,-5789777,-5592399,-5395277,-5395280,-5395283,-5856090,-7696749,-7104869,-6578781,-6184022,-5658192,-5395277,-5197899,-5132363,-5922396,-9672857,-7697008,-7105384,-6513246,-6118744,-7040876,-6780534,-5530724,-5199186,-7504002,-10463402,-8025974,-7697522,-6908262,-6645090,-11384504,-10008766,-8431532,-8299949,-9482426,-10333618,-7828852,-7368557,-6908006,-6513504,-7632243,-10922923,-10266279,-8488840,-8949391,-11450298,-8026231,-7631730,-7303021,-6974313,-6842727,-6777192,-7040108,-7435122,-7566709,-9145742,-8289661,-7960696,-7697780,-7500658,-7434865,-7434866,-7829624,-8619140,-8948106,-9276815,3
260,'2019/10/24 13:18:55:072',9,-8090483,-7893102,-7695980,-7498857,-7235943,-6907750,-6973543,-6973544,-7170924,-7170924,-8353654,-7958895,-7433064,-6775391,-5986389,-5591888,-6778478,-7702698,-9873589,-8818068,-7761515,-7301219,-6775133,-6380888,-5920594,-5592143,-6909548,-9807803,-10859707,-10924214,-7696492,-7301476,-6644317,-6249814,-5789776,-5592399,-5395276,-5395280,-5461075,-5921626,-7696750,-7170661,-6578781,-6184022,-5658192,-5395276,-5197899,-5132364,-5922396,-9738649,-7697008,-7170920,-6513502,-6184280,-7040876,-6780534,-5530723,-5133650,-7569794,-10528938,-7960438,-7697522,-6908263,-6645090,-11384504,-10008766,-8431533,-8299949,-9482426,-10399154,-7828851,-7368556,-6908261,-6513504,-7632243,-10922923,-10266280,-8423304,-8949391,-11450299,-8026232,-7631730,-7303021,-6974313,-6842727,-6777191,-7040107,-7435123,-7566709,-9145742,-8289405,-7960952,-7697780,-7566194,-7434865,-7434866,-7829624,-8619140,-8948106,-9276815,3
261,'2019/10/24 13:18:55:072',9,-8156019,-7893103,-7695979,-7564393,-7170407,-6907749,-6973287,-6973288,-7170667,-7170924,-8419190,-7958896,-7433064,-6775391,-5986389,-5591888,-6514792,-7372955,-9412779,-8489101,-7695979,-7301220,-6775133,-6380888,-5920594,-5592143,-6975342,-9939909,-11057859,-11187645,-7696492,-7235940,-6709852,-6249814,-5789777,-5592399,-5395277,-5395280,-5526868,-5921882,-7696750,-7170661,-6578781,-6184023,-5658192,-5395276,-5197899,-5132364,-5922396,-9672857,-7697008,-7170921,-6513502,-6118744,-7040876,-6780277,-5530723,-5199186,-7504259,-10528939,-7960438,-7697522,-6908263,-6645090,-11384504,-10008766,-8431533,-8365485,-9482426,-10399154,-7828851,-7368556,-6908261,-6513505,-7632243,-10922923,-10331816,-8488840,-8949391,-11450298,-8026232,-7631730,-7303021,-7039849,-6842727,-6777191,-7040108,-7435122,-7566709,-9145742,-8289405,-7960696,-7697780,-7566194,-7434865,-7500402,-7829624,-8619140,-8948106,-9276815,3
